Crop,Total_Cost_INR,Profit,Temperature_C,Rainfall_mm,Area_Hectare
Rice,208874.8,919725.2,29.01,2176.02,9
Cotton,202938.44,816761.56,30.5,1916.72,6.63
Potato,107737.12,1102222.88,24.66,1715.81,4.63
Rice,78441.45,227358.55,19.07,1461.32,2.7
Maize,218822.1,506217.9,38.73,884.06,8.77
Wheat,67810.82,85489.18,20.43,1851.8,2.33
Potato,112806.37,770873.63,15.49,600.49,3.73
Cotton,289149.75,1126550.25,29.65,1424.34,11.08
Rice,134953.11,582906.89,28.08,729.6,6.35
Rice,279054.52,695985.48,33.13,1410.47,10.32
Potato,288704.45,1944255.55,33.11,946.6,9.33
Rice,151303.38,264936.62,29.37,417.66,4.83
Wheat,77484.2,183545.8,17.81,1408.16,3.01
Rice,46080.28,137179.72,36.84,700.03,1.65
Sugarcane,312742.3,2532652.7,18.95,654.54,11.55
Sugarcane,147699.28,889630.72,14.63,1145.6,4.23
Rice,245697.41,662902.59,20.44,1095.93,8.24
Potato,194118.64,1970441.36,25.53,2207.31,8.9
Sugarcane,61813.56,620651.44,17.8,1542.2,2.77
Cotton,194501.38,789448.62,21.34,2180.05,8.48
Sugarcane,16362.19,132772.81,26.38,623.04,0.61
Rice,156744.35,405135.65,21.04,1086.08,5.31
Potato,120769.76,953830.24,14.5,1521.73,4.53
Maize,372954.93,884165.07,17.52,636.88,11.23
Potato,295332.27,2576387.73,34.24,581.73,11.84
Potato,95412.4,832187.6,38.72,1755.08,3.81
Potato,204513.55,1647806.45,16.16,1738.43,7.52
Cotton,297078.32,1017421.68,31.07,815.15,9.07
Wheat,87325.44,141574.56,37.36,799.67,2.7
Rice,267311.43,511048.57,20.38,1939.98,8.4
Wheat,104611.59,159148.41,35.22,557.37,3.46
Maize,75521.3,152718.7,37.34,2331.18,2.44
Wheat,273338.82,428691.18,20.39,2376.22,10.28
Rice,170197.53,562842.47,13.59,2216.18,6.28
Rice,80265.84,258754.16,37.67,763.49,3.92
Maize,163634.34,268545.66,21.25,336.96,5.15
Rice,153252.74,367047.26,12.38,2360.72,5.25
Maize,260193.46,654026.54,25.3,1056.74,9.36
Maize,359370.44,572129.56,15.24,982.9,10.7
Rice,169323.18,387936.82,37.25,875.69,5.97
Sugarcane,94571.87,934883.13,16.34,837.98,4.21
Maize,225728.83,606231.17,20.52,1916.02,8.86
Rice,235276.7,921923.3,34.13,2297.37,10.91
Sugarcane,58435.48,382634.52,34.58,2029.32,1.81
Maize,274905.01,592514.99,37.24,1783.04,9.66
Sugarcane,184060.25,1513509.75,25.93,933.07,6.91
Cotton,236223.57,1544676.43,39.63,1503.32,10.48
Potato,206385.01,1367174.99,26.45,821.33,6.41
Cotton,209731.38,1332468.62,34.14,545.32,10.42
Sugarcane,158800.22,1502019.78,22.13,564.64,6.88
Maize,70270.8,115849.2,38.36,1628.29,2.17
Rice,20362.75,30237.25,31.18,384.66,0.56
Wheat,190451.33,499608.67,14.16,2441.16,7.63
Rice,198502.07,439937.93,15.04,2490.03,7.31
Wheat,70477.46,115372.54,36.94,628.73,2.92
Wheat,331668.36,530591.64,34.67,1240.07,10.28
Maize,301187.26,726612.74,21.24,1989.77,10.48
Sugarcane,265144.76,2110725.24,26.6,2401.15,9.75
Rice,336893.51,724166.49,35.88,2260.91,11.27
Sugarcane,116598.11,1451961.89,14.9,860.46,6.33
Cotton,244635.18,610614.82,15.87,487.43,8.58
Maize,339004.5,579175.5,32.03,935.2,10.9
Maize,155482.86,414397.14,14.3,1261.92,5.75
Cotton,207062.63,863237.37,21.87,1091.86,7.61
Rice,152714.57,476265.43,19.05,2002.51,6.4
Potato,396837.88,2327882.12,33.29,867.13,11.81
Cotton,183895.4,431004.6,12.07,2189,5.53
Rice,123610.79,273049.21,15.23,796.4,4.15
Wheat,192408.2,579551.8,14.77,1094.97,7.74
Maize,124728.79,206651.21,20.91,1285.18,3.73
Rice,289595.94,567084.06,18.51,940.68,10.36
Sugarcane,271070.22,2356764.78,18.39,1986.02,10.76
Sugarcane,89871.27,999678.73,22.37,1201,4.47
Maize,135235.21,321244.79,17.99,2251.46,4.62
Cotton,39762.68,58687.32,14.97,2419.9,1.5
Potato,72080.85,739479.15,28.33,2191.58,3.44
Cotton,40186.2,185863.8,38.65,1449.78,1.28
Rice,214058.12,760761.88,29,1421.58,9.21
Cotton,61445.12,296604.88,33.2,774.92,2.57
Maize,39197,85723,39.22,1603.01,1.41
Rice,60360.47,193959.53,16.29,2396,2.39
Wheat,140394.13,278345.87,24.87,477.33,4.84
Cotton,172527.39,398922.61,28.29,1955.41,5.36
Cotton,326151.93,1489948.07,21.02,2212.99,10.83
Potato,101355.8,841244.2,29.17,2470.75,3.72
Rice,259471.24,568168.76,29.47,1036.47,8.75
Sugarcane,260684.5,2363790.5,35.58,1082.26,10.79
Cotton,285047.59,1366602.41,35.31,805.51,10.35
Maize,59567.3,225012.7,15.99,2035.94,2.79
Cotton,118745.17,365804.83,16.73,608.09,3.72
Potato,32849.42,230190.58,18.23,889.09,1.13
Wheat,138276.67,373073.33,19.31,949.58,6.06
Potato,173130.85,975389.15,27.81,1124.85,5.16
Cotton,197312.22,759687.78,21.17,1227.66,6.77
Sugarcane,134100.21,1247314.79,38.68,1529.85,5.77
Cotton,217877.63,909072.37,15.31,2386.42,8.96
Rice,245007.88,675692.12,18.9,844.02,8.2
Cotton,130427.24,938222.76,36.31,2014.29,5.43
Sugarcane,25589.11,206425.89,28.36,1788.06,0.94
Rice,113472.45,335327.55,27.33,555.31,4.45
Maize,109949.13,304230.87,28.64,2082.83,4.23
Rice,36243.95,119076.05,19.06,499.35,1.53
Potato,122874.08,812405.92,33.32,1925.64,4
Wheat,261356.88,736983.12,25.9,1874.73,11.85
Potato,351491.96,2013228.04,13.19,1816.68,9.94
Rice,282104.67,765095.33,16.96,908.72,9.72
Maize,374642.01,685017.99,34.87,1561.41,10.2
Cotton,183539.23,1126010.77,21.66,1975.47,10.45
Rice,125636.41,290603.59,33.66,1702.7,4.24
Potato,79908.01,936611.99,30.57,2069.47,4.21
Rice,133041.34,310258.66,20.44,1813.34,4.37
Rice,257083.55,963916.45,15.56,903.79,9.91
Rice,239225.69,688734.31,34.59,636.72,9.67
Maize,16926.52,35993.48,30.01,1690.35,0.69
Sugarcane,253194.8,2540610.2,20.42,1971.47,11.42
Sugarcane,111417.2,827317.8,26.65,613.11,3.78
Rice,230757.36,566082.64,29.13,684.61,7.7
Maize,208846.03,534373.97,12.06,326.55,7.86
Maize,28056.72,120983.28,30.77,1469.85,1.8
Rice,198934.27,629805.73,30.37,1493.04,8.5
Potato,163692.79,1490867.21,14.31,1400.17,6.64
Potato,234927.31,1622072.69,34.06,995.22,7.53
Wheat,160131.06,375578.94,35.1,1241.18,5.64
Rice,212749.34,619290.66,20.12,1985.72,9.75
Wheat,170672.27,512247.73,16.54,699.95,7.8
Potato,80875.13,538444.87,31.22,743.41,2.72
Potato,271056.89,1922303.11,15.45,1767.35,9.16
Rice,220473.15,422806.85,36.03,2207.18,6.28
Wheat,28313.65,57366.35,25.44,1048.87,0.93
Wheat,140680.19,310819.81,37.47,2352.04,5.04
Rice,143876.38,434063.62,29.98,426.89,5.12
Wheat,274059.51,644690.49,19.98,560.74,9.72
Cotton,78520.6,353779.4,25.11,1311.91,3.19
Potato,160974.34,1161425.66,26.82,1891.67,5.7
Sugarcane,30996.56,246973.44,34.82,1115.84,1.13
Maize,284718.29,792401.71,36.13,1520.44,10.64
Wheat,117990.93,296969.07,31.12,362.86,5.6
Wheat,295425.22,538694.78,20.24,1316.04,10.35
Maize,209016.54,618083.46,26.8,833.67,8.29
Wheat,99861.35,301028.65,15.66,1436.01,4.18
Maize,221343.18,482996.82,18.44,1456.83,8.7
Rice,147638.11,515221.89,20.49,1956.95,5.89
Cotton,121652.14,478947.86,14.04,1487.65,4.42
Cotton,218215.02,869684.98,36.78,1651.39,8.18
Potato,250032.99,2076527.01,15.43,1465.22,9.4
Sugarcane,273871,1781049,31.51,2478.83,8.42
Wheat,164633.41,332646.59,26.16,2041.56,5.82
Sugarcane,80224.46,768175.54,35.29,1962.42,3.48
Rice,282669.87,667070.13,32.75,1679.97,9.82
Cotton,139698,660002,33.27,1462.42,4.49
Rice,211737.6,571022.4,23.71,1058.47,7.55
Rice,40905.24,166114.76,35.35,2024.73,1.83
Wheat,241043.34,284166.66,14.65,717.14,9.01
Rice,291148.5,1009711.5,24.44,380.41,11.46
Cotton,172274.94,447575.06,39.85,1835.98,5.67
Sugarcane,235105.09,1425854.91,38.55,618.67,6.81
Cotton,283551.41,1069998.59,14.3,2288.42,10.84
Wheat,182563.35,625726.65,28.04,1995.5,9.65
Cotton,355801.41,1360198.59,20.84,1624.94,11.57
Maize,108926.19,243873.81,32.4,990.63,3.56
Sugarcane,153225.04,1296159.96,32.6,1703.47,5.9
Maize,163050.89,394409.11,12,1349.08,5.74
Maize,156462.72,383177.28,35.68,940.53,5.94
Potato,316760.44,2338239.56,18.26,2379.17,11
Wheat,71169.58,170330.42,39.05,656.16,2.86
Rice,271788.19,628231.81,37.35,1957.44,10.79
Maize,208827.84,486872.16,17.34,2060.08,7.07
Cotton,206012.8,751537.2,29.82,2393.95,6.67
Rice,124487.35,460492.65,20.3,1508.72,5.29
Cotton,179219.91,1021430.09,14.88,1476.73,6.71
Cotton,295800.53,1462549.47,36.47,2324.64,9.74
Rice,162980.69,229499.31,17.06,2062.41,6.16
Rice,261567.51,581472.49,23.79,1980,9.42
Cotton,159421.61,419728.39,37.88,2036.1,5.29
Wheat,74614.13,133705.87,14.11,1385,2.6
Sugarcane,172024.47,1113035.53,27.42,391.12,5.27
Potato,245555.96,1922844.04,28.02,736.18,8.82
Sugarcane,206725.97,2304664.03,33.37,1714.58,10.3
Wheat,278964.95,489005.05,35.16,1171.57,9.37
Potato,157930.55,973909.45,23.88,1634.89,4.81
Rice,265677.76,453722.24,32.82,1513.69,7.16
Potato,151007.77,892632.23,37.49,1265.05,4.65
Cotton,256747.95,769002.05,36.82,816.4,8.6
Sugarcane,178142.74,1157317.26,26.05,1881.71,5.52
Potato,256803.78,2037116.22,29,2299.9,9.3
Cotton,15746.37,75553.63,30.84,1993.92,0.65
Wheat,130062.94,216227.06,34.94,564.08,4.41
Potato,227718.01,2291201.99,26.22,1483.49,10.6
Cotton,106849.88,451950.12,15.13,2137.81,4.22
Wheat,108882.82,349337.18,22.79,1600.16,5.04
Rice,289973.97,659546.03,32.17,1267.05,9.59
Wheat,50648.64,69681.36,29.47,926,1.59
Wheat,77810.46,173559.54,33.1,1026.86,4.09
Sugarcane,199962.89,2096422.11,26,832.75,9.41
Cotton,281307.19,1263642.81,16.88,730.6,11.51
Potato,222287.49,2078952.51,15.23,1595.5,9.5
Sugarcane,57624.78,552285.22,25.48,1420.65,2.48
Maize,273630.01,736349.99,17.76,1916.63,10.1
Wheat,210643.38,257026.62,39.5,977.44,5.97
Maize,269019.89,542780.11,17.57,1313.81,9.5
Sugarcane,92340.41,702859.59,27.87,1796.81,3.25
Cotton,102696.97,390103.03,12.05,2419.11,4.42
Sugarcane,257298.6,2371446.4,19.1,1067.51,10.87
Cotton,377419.08,1256080.92,19.26,956.06,10.97
Cotton,129635.94,188814.06,32.66,1288.43,3.78
Rice,43470.11,83469.89,25.88,1892.52,1.46
Wheat,399950.21,485829.79,12.34,2415.41,11.18
Sugarcane,83978.32,895181.68,22.62,1480.38,3.95
Cotton,55207.57,167542.43,30.05,2087.37,1.88
Sugarcane,114324.23,971830.77,29.83,1321.68,4.5
Sugarcane,102989.37,812260.63,13.51,387.69,3.74
Cotton,48891.09,143608.91,38.01,2267.26,1.43
Potato,355848.78,2410391.22,18.92,937.73,11.81
Maize,119954.6,234465.4,36.96,605.06,3.88
Wheat,101780.23,158199.77,17.98,2491.56,3.63
Wheat,150320.71,294249.29,27.9,1064.28,5.33
Potato,148771.88,1092388.12,23.37,600.38,5.27
Rice,135095.55,363864.45,28.28,985.39,5.49
Potato,335081.77,2339478.23,25.94,1430.44,10.93
Rice,35384.26,79675.74,12.06,493.51,1.19
Rice,290242.91,756957.09,21.84,1075.77,11.33
Potato,234186.85,1798133.15,12.31,1771.48,8.16
Wheat,182215.84,528214.16,31.13,2315.05,8.52
Maize,50372.34,131247.66,35.9,1174.36,2.32
Wheat,100462.58,185557.42,22.77,1542.04,4.28
Wheat,36552.41,49967.59,26.69,1699.34,1.1
Wheat,255266.46,457683.54,13.84,455.66,8.01
Potato,84696.94,916583.06,22.79,1052.9,4.41
Potato,177142.18,1412497.82,15.89,1805.36,6.84
Potato,232094.87,2041185.13,13.81,1918.45,9.16
Wheat,170028.41,319481.59,16.82,1083.09,6.87
Maize,41072.5,72867.5,36.38,314.82,1.32
Rice,32695.04,67624.96,39.5,315.1,1.21
Sugarcane,399354.6,2175770.4,36.62,1483.86,10.47
Rice,97564.1,184915.9,39.15,1513.27,3.51
Rice,120687.11,336032.89,32.46,1522.58,4.67
Sugarcane,97488.71,642376.29,16.47,1887.86,3.01
Wheat,264350.92,423609.08,27.77,2326.79,8.54
Maize,127418.69,344361.31,32.48,2478.37,4.94
Maize,171509.92,335010.08,26.38,1842.35,5.75
Rice,271184.88,645115.12,27.53,1430.8,8.26
Sugarcane,218442.94,1666097.06,28.41,610.19,7.67
Cotton,244075.29,676074.71,25.07,1145.19,9.4
Wheat,248389.1,428440.9,20.14,1559.4,9.11
Rice,122856.89,544183.11,29.84,2499.58,5.56
Maize,82807.19,179812.81,13.5,579.36,2.71
Potato,75048.4,674711.6,16.79,2044.77,3.07
Potato,188498.92,1820781.08,37.91,2497.67,8.63
Sugarcane,75321.83,788338.17,25.69,2071.64,3.5
Sugarcane,130080.33,1214094.67,35.01,1987.72,5.57
Rice,47277.18,130922.82,32.34,869.1,1.74
Cotton,51039.74,194810.26,20.98,307.4,1.91
Maize,83246.87,223653.13,34.5,797.17,3.37
Rice,32410.28,130829.72,14.56,2037.56,1.48
Cotton,73083.41,316866.59,36.5,536.02,3.66
Sugarcane,267789.61,1457465.39,31.06,951.46,7.03
Potato,304227.84,1884332.16,37.96,1537.51,9.06
Wheat,24659.45,48000.55,37.07,1575.58,0.88
Potato,223199.61,1618080.39,22.65,1494.58,7.41
Maize,119066.31,317253.69,35.99,2457.94,4.68
Maize,83393.59,220266.41,27.76,327.03,3.11
Potato,23875.51,190324.49,16.4,1372.72,0.87
Potato,110809.92,889990.08,35.23,1409.73,4.25
Cotton,228321.49,1047678.51,37.42,945.31,9.58
Rice,193887.66,367112.34,14.37,1455.16,6.6
Sugarcane,287341.14,2029798.86,38.06,1781.22,9.42
Cotton,151022.49,584877.51,28.84,1780.06,5.24
Wheat,275183.34,617526.66,12.73,493.29,10.2
Potato,54207.28,479912.72,27.17,2065.41,2.23
Wheat,303452.5,431967.5,34.31,2347.56,9.93
Wheat,179198.1,319971.9,26.93,571.95,5.97
Cotton,248952.4,1359247.6,31.8,1216.61,9.08
Sugarcane,82380.84,719644.16,36.63,1425.85,3.26
Maize,151479.28,340280.72,36.35,596.61,6.09
Rice,305301.98,597358.02,17.01,1407.44,8.93
Maize,156633.89,526466.11,23.96,755.09,6.06
Sugarcane,161837.73,1245162.27,15.11,2357.79,5.77
Maize,272720.57,603519.43,28.66,1286.63,9.82
Potato,56355.81,484604.19,38.73,2488.78,2.37
Potato,187844.72,1239435.28,17.09,402.32,5.96
Cotton,231964.12,1013235.88,23.3,580.68,9.96
Wheat,279265.16,587194.84,38.71,1275.06,10.22
Sugarcane,60354.91,395380.09,33,2223.59,1.86
Sugarcane,300190.53,2221769.47,13.99,1521.5,10.28
Maize,18404.23,44775.77,24,1911.16,0.64
Cotton,260399.33,644350.67,39.66,1231.84,10.34
Maize,112674.11,255065.89,24.69,389.13,3.54
Maize,180215.83,515664.17,29.62,1725.19,7.15
Sugarcane,14423.91,136076.09,31.63,1694.8,0.61
Maize,294094.07,573325.93,30.59,457.14,8.91
Wheat,154374.3,303635.7,26.52,675.94,5.46
Maize,250708.85,690151.15,15.72,1347.54,10.23
Wheat,221895.43,292604.57,31.84,1282.6,6.89
Sugarcane,339772.94,2150127.06,38.13,1955.32,10.1
Cotton,226451.69,898848.31,38.37,1152.31,7.53
Potato,281938.68,1878541.32,28.61,1759.26,9.08
Wheat,278583.36,574856.64,25.78,1849.73,9.1
Cotton,83268.73,358931.27,21.35,1719.01,3.34
Cotton,208684.91,852265.09,14.9,1611.48,7.14
Wheat,343806.73,370823.27,36.73,2072.5,10.55
Sugarcane,248701.65,2342418.35,15.84,1745.64,10.61
Rice,156883.6,270136.4,20.06,2135.21,4.92
Cotton,104662.16,350187.84,32.73,1700.71,4.24
Cotton,174047.37,885252.63,31.73,649.74,8.02
Sugarcane,281175.44,2025254.56,31.07,980.78,9.45
Sugarcane,18337.42,206152.58,32.77,1026.78,0.91
Maize,37563.56,100316.44,27.18,506.61,1.57
Sugarcane,310588.78,2015161.22,16.34,1823.07,9.46
Cotton,170991.88,475258.12,39.95,1609.24,5.52
Wheat,232574.41,419265.59,36.98,1597.46,8.18
Rice,178198.99,685081.01,24.07,1352.74,9.93
Maize,196823.83,719376.17,26.85,1494.87,9.2
Wheat,262239.82,672890.18,23.02,317.79,9.81
Rice,117701.02,434938.98,29.86,511.75,6.41
Rice,61065,182255,32.47,1803.38,2.31
Rice,161293.15,532146.85,18.48,875.23,5.95
Potato,308142.42,2414057.58,24.12,537.41,11.58
Wheat,85501.65,295858.35,29.93,1023.04,4.01
Maize,110461.9,389038.1,39.66,859.86,5.32
Maize,248267.27,612672.73,21.1,364.62,9.3
Rice,44789.93,86330.07,32.86,1203.23,1.37
Wheat,286812.29,421097.71,21.71,359.46,9.21
Potato,127642.26,721717.74,14.59,300.86,3.65
Rice,72891.17,257768.83,33.56,2043.44,3.57
Sugarcane,234027.69,1556922.31,30.18,992.94,7.2
Maize,80889.22,196850.78,26.4,1548.69,3.44
Cotton,184726.88,935623.12,30.9,955.05,7.87
Rice,332186.24,741633.76,36.62,2346.05,10.95
Sugarcane,133070.35,1127314.65,33.18,1904.2,5.15
Maize,314156.08,666663.92,36.02,1112.17,11.35
Potato,341174.64,2262465.36,20.12,763.38,11.34
Wheat,54038.87,185151.13,34.41,603.17,2.89
Maize,171839.49,308040.51,22.08,1977.32,5.47
Wheat,354825.35,604664.65,12.58,1296.68,11.89
Wheat,46929.72,95450.28,13.21,810.32,1.98
Potato,196232.96,1254807.04,32.45,2323.18,5.97
Potato,121298.98,1189461.02,19.61,1158.21,5.47
Rice,266966.36,724133.64,20.61,1495.68,9.81
Rice,64511.53,182108.47,29.43,2187.16,2.36
Maize,102483.38,183176.62,32.76,2133.43,3.05
Potato,70593.47,522326.53,27.65,1703.5,2.52
Sugarcane,71783.07,524756.93,31.78,2254.97,2.42
Maize,98810.22,282789.78,38.35,2394.62,3.46
Cotton,148625.57,821574.43,35.92,2357.25,6.57
Wheat,197506.87,241813.13,18.74,1067.82,8.63
Wheat,131961.62,213068.38,37.39,1173.78,4.87
Rice,134519.41,409760.59,20.32,829.11,5.63
Sugarcane,296468,2051472,30.5,2141.03,9.61
Potato,160132.4,1348147.6,36.49,568.01,6.54
Potato,168376.11,1545583.89,29.46,1081.18,7.28
Rice,202371.13,434748.87,34.57,321.41,6.46
Cotton,213777.3,1157922.7,37.97,1608.22,9.58
Maize,60153.09,183746.91,39.07,1748.45,2.61
Maize,300860.91,707859.09,23.5,847.77,11.78
Sugarcane,315327.26,2261127.74,39.8,1920.81,10.61
Rice,133558.32,342741.68,19.61,1139.38,5.1
Rice,115713.67,377086.33,24.94,985.76,5.27
Cotton,250646.8,1281653.2,33.3,2403.56,10.26
Maize,160316.22,304443.78,39.16,1595.12,5.62
Rice,155401.34,483038.66,13.48,855.1,6.34
Potato,294000.83,1881359.17,38.48,2463.13,9.08
Sugarcane,123266.09,1088468.91,39.96,1152.61,4.96
Maize,152525.5,402234.5,37.47,1725.23,5.72
Cotton,25299.57,90750.43,15.03,1892.48,0.93
Sugarcane,56038.84,444881.16,35.54,1229.05,2.03
Wheat,162685.3,340684.7,29.91,1479.02,5.77
Potato,34593.17,208406.83,12.27,827.52,1.03
Cotton,96193.23,629806.77,39.56,1324.81,4.03
Sugarcane,158121.12,1177408.88,16.21,983.76,5.53
Rice,57187.98,136412.02,23.11,1504.41,1.67
Wheat,38427.88,79382.12,12.85,1773.76,1.25
Cotton,22068.42,52181.58,20.67,1650.81,0.69
Rice,173519.55,407720.45,27.91,2008.78,6.08
Potato,67847.02,442992.98,38.06,391.37,2.19
Wheat,214499.9,416130.1,39.73,472.91,8.42
Maize,127345.33,526234.67,23.85,751.69,6.17
Rice,20539.41,49420.59,23.99,2468.77,0.72
Sugarcane,35931.4,248933.6,16.49,2060.59,1.18
Cotton,283412.5,1457887.5,25.95,2333.07,11.05
Wheat,51717.03,106622.97,38.32,898.6,1.93
Rice,219614.49,571725.51,16.63,1562.48,9.21
Maize,92630.27,265749.73,19.46,1520.75,3.33
Cotton,97521.29,560278.71,36.96,1552.94,4.2
Cotton,20950.06,80799.94,29.54,1878.65,0.79
Rice,168977.18,532822.82,21.25,1166.76,6.9
Maize,171672.07,444467.93,34.76,1789.86,5.87
Potato,215989.44,1992010.56,15.05,2034.56,9.07
Potato,383781.7,2139338.3,36.03,935.96,10.92
Wheat,195390.78,294539.22,26.5,2380.64,6.8
Rice,279570.72,608349.28,33.19,1439.71,11.45
Wheat,57445.74,113284.26,26.51,1912.08,2.2
Potato,161090.56,856989.44,18.9,1903.63,4.46
Cotton,180080.35,1228469.65,29.94,1543.54,10.04
Wheat,259487.53,346152.47,16.33,1009.9,6.86
Maize,234659.63,391740.37,18.44,1767.27,6.79
Sugarcane,147843.16,1257756.84,27.38,492.03,5.79
Potato,18834.53,151325.47,22.92,2459.16,0.71
Potato,36964.61,305755.39,32.87,704.79,1.42
Maize,37325.73,118374.27,28.34,905.94,1.53
Wheat,67098.97,127571.03,22.68,2399.77,2.68
Rice,42599.11,122400.89,21.15,710.39,1.58
Cotton,46448.86,136151.14,37.57,674.2,1.73
Sugarcane,248970.92,1654224.08,13.12,2069.98,7.82
Rice,56995.31,152664.69,31.35,852.83,1.86
Rice,217625.59,485494.41,22.97,508.4,5.85
Maize,31430.31,75309.69,22.57,798.61,1.23
Wheat,93722.26,237027.74,30.25,2254.42,3.6
Potato,255522.5,2461157.5,35.81,916.7,11.13
Potato,29833.1,174046.9,32.28,1829.13,0.86
Maize,310951.75,671848.25,30.76,1169.31,10.59
Wheat,211939.99,575140.01,25.89,876.66,9.24
Maize,302782.85,796657.15,25.14,616.9,11.09
Potato,249123.98,2120036.02,24.9,2438.82,9.55
Rice,317557.68,569702.32,16.07,1446.45,10
Cotton,53180.7,227869.3,27.67,552.46,1.74
Wheat,257589.82,628400.18,20.83,737.39,10.11
Sugarcane,189605.42,1293449.58,29.31,1196.05,5.99
Sugarcane,156548.71,953126.29,26.96,1497.18,4.54
Rice,77719.55,175060.45,38.32,699.95,2.27
Maize,16871.18,37488.82,24.18,911,0.51
Maize,237116.87,521583.13,30.6,2024.15,7.89
Potato,260142.96,1876097.04,28.6,1218.46,8.85
Rice,136566.42,354473.58,31.16,303.09,4.96
Potato,48187.36,537532.64,19.48,418.67,2.39
Potato,61951.38,470968.62,19.2,1266.52,2.16
Sugarcane,74088.54,523816.46,27.67,432.26,2.43
Potato,32907.38,247652.62,35.77,682.59,1.15
Potato,142539.43,952460.57,32.16,1901.33,4.64
Sugarcane,189805.91,1661169.09,25.69,1356.84,7.59
Maize,189321.03,276698.97,19.14,1361.42,5.64
Wheat,49740.12,146189.88,33.26,1616.08,1.94
Cotton,184429.38,1069020.62,37.93,2034.74,9.89
Potato,106426.97,821413.03,17.96,648.89,3.8
Wheat,189451.41,328408.59,34.37,680.7,7.43
Sugarcane,77632.51,735382.49,16.83,567.09,3.33
Wheat,210924.18,284255.82,37.22,2361.02,7.34
Cotton,70014.98,157135.02,29.98,1570.04,1.99
Wheat,206624.87,441435.13,17.07,503.81,8.04
Wheat,216630.45,373049.55,13.02,785.42,7.09
Wheat,157695.55,361844.45,31.45,1896.3,6.47
Wheat,82029.95,132170.05,28.97,363.78,3
Rice,212323.89,426336.11,29.12,1896.44,6.59
Potato,250316.88,2404443.12,25.5,2305.22,10.82
Sugarcane,59627.06,419557.94,29.2,424.04,1.94
Cotton,240281.8,1105018.2,36.45,710.12,8.59
Sugarcane,41190.09,403344.91,38.66,305.23,1.81
Rice,114786.34,305413.66,21.65,539.87,4.39
Rice,280818.34,485221.66,25.66,1657.38,8.36
Rice,178199.05,502920.95,19.64,398.6,6.94
Potato,218561.86,1781958.14,23.52,1236.84,8.3
Rice,366897.31,908442.69,34.28,1407.48,11.58
Wheat,286474.86,568435.14,23.9,2294.58,11.65
Sugarcane,237842.97,2442562.03,22.97,1343.44,11.02
Maize,149212.77,321127.23,35.8,613.6,6.19
Cotton,124379.01,614270.99,12.04,936.44,4.42
Rice,124140.03,239079.97,35.86,1778.83,3.72
Sugarcane,194276.91,1530453.09,17.08,546.65,7.12
Rice,194983.04,334996.96,19.69,809.83,5.72
Potato,298245.89,2516234.11,22.13,2490.71,11.94
Rice,222868.85,398631.15,36.66,312.18,6.66
Rice,133961.83,319018.17,37.44,634.8,4.28
Rice,222284.87,459495.13,30.51,2156.11,7.81
Rice,33563.48,74676.52,24.3,523.04,1
Cotton,51865.53,158234.47,26.45,374.01,1.77
Sugarcane,238922.95,1741657.05,28.25,566.89,8.13
Potato,59887.83,387472.17,38.71,1825.91,1.92
Rice,292220.21,607139.79,39.14,2484.84,9.19
Rice,35311.79,88108.21,35.73,1599.4,1.21
Rice,173817.45,518082.55,28.34,573.5,7.33
Rice,199769.97,615990.03,22.94,704.31,8.3
Wheat,301525.13,426964.87,18.45,1482.9,9.47
Wheat,208888.01,742831.99,26.96,1874.45,10.69
Maize,130460.87,243759.13,21.68,1758.41,4.09
Rice,196739.19,677320.81,14.04,1564.4,8.77
Maize,41938.39,111781.61,25.33,2469.79,1.43
Cotton,253963.45,1870136.55,27.99,735.67,10.04
Maize,274183.7,651016.3,29.12,680.39,10.74
Sugarcane,199970.85,2053889.15,14.07,2189.93,9.11
Wheat,110588.15,149601.85,25.53,939.81,3.74
Wheat,33475.43,72994.57,30.37,1031.56,1.22
Rice,145957.32,488082.68,38.91,1507.07,5.35
Rice,100204.19,281495.81,12.7,1138.8,3.61
Cotton,198735.63,703264.37,30.94,932.81,6.6
Potato,161291.46,989508.54,13.75,2317.79,5.03
Cotton,45399.18,204850.82,16.45,584.4,2.06
Sugarcane,221507.49,2246797.51,16.85,1189.44,10.12
Rice,302579.01,650680.99,21.21,306.53,10.44
Rice,226841.47,750178.53,35.28,2076.4,9.85
Cotton,86825.07,336124.93,35.97,670.52,2.92
Cotton,159261.92,248838.08,22.5,2000.58,5.43
Cotton,70950.64,156199.36,24.08,626.93,2.47
Wheat,238797.57,514682.43,18.08,1216.83,8.15
Maize,281733.11,600986.89,24.11,1902.01,9.76
Maize,171176.22,461523.78,19.7,895.78,7.19
Rice,175065.21,520134.79,16.9,990.62,6.78
Wheat,271141.57,534838.43,16.44,1768.11,8.72
Cotton,55695.01,108204.99,33.72,712.94,1.81
Rice,85547.55,199572.45,15.27,2393.93,3.35
Wheat,100280.46,205689.54,29.25,715.33,4.11
Sugarcane,204122.31,1433037.69,16.69,1949.99,6.62
Potato,325668.39,2603171.61,35.46,2065.72,11.72
Wheat,254600.44,582669.56,19.69,1123.61,10.42
Rice,71344.56,274495.44,13.26,643.73,3.34
Maize,82662.79,196877.21,24.66,664.99,3.18
Cotton,148611.38,594988.62,39.99,2467.99,5.51
Potato,361744.84,2449615.16,34.77,1895.9,11.71
Sugarcane,50857.78,495807.22,27.97,1290.1,2.25
